School Code,School Name,PMF Score,PMF Tier,Framework,Ward,Asian (%),Black / African American (%),Hispanic (%),Native American (%),Pacific Islander / Native Hawaiian (%),White (%),Multiracial (%),SPED (%),ELL (%),At Risk (%),Audited Enrollment (#),Growth Assessment,ELA (%),Math (%),Achievement Assessment,ELA Levels 3+ (%),ELA Levels 4+ (%),Math Levels 3+ (%),Math Levels 4+ (%),Gateway: 3rd Grade ELA Levels 3+ (%),Gateway: 8th Grade Math Levels 3+ (%),CLASS: Emotional Support,CLASS: Classroom Organization,CLASS: Instructional Support,Attendance (ISA) (%),Reenrollment Rate (%),PK Literacy (%),PK Math (%),PK Social Emotional Learning (%),K-2 Literacy (%),K-2 Math (%)
217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,60.1%,2,PK-8,8,0.0,97.1,1.9,0.5,0.3,0.0,0.3,9.6,0.8,67.2,375,NWEA MAP,63.5,65.0,PARCC,32.3,14.5,48.4,19.4,13.2,,5.9,5.9,3.2,88.8,64.4,96.9,96.1,,,
1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,35.3%,2,PK-8,8,0.0,97.6,0.7,0.4,0.2,0.0,1.1,19.2,0.0,65.3,449,PARCC,41.1,42.5,PARCC,39.9,19.5,35.0,12.5,,1.5,,,,91.3,80.2,,,,,
140,AppleTree Early Learning Center PCS - Columbia Heights,79.8%,1,PK Only,1,2.6,59.7,7.1,1.9,1.3,27.3,0.0,7.1,24.0,32.5,154,,,,,,,,,,,6.1,6.2,3.6,87.7,,94.5,93.7,82.0,,
3072,AppleTree Early Learning Center PCS - Douglas Knoll,72.3%,1,PK Only,8,0.0,97.8,0.0,2.2,0.0,0.0,0.0,4.4,1.1,80.0,90,,,,,,,,,,,5.5,5.8,2.9,85.9,,97.3,91.8,94.8,,
3073,AppleTree Early Learning Center PCS - Lincoln Park,91.0%,1,PK Only,6,5.0,43.3,1.7,1.7,0.0,48.3,0.0,10.0,13.3,26.7,60,,,,,,,,,,,6.1,6.3,4.2,92.6,,98.1,98.1,82.8,,
1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,68.9%,1,PK Only,7,0.7,90.1,0.0,0.0,0.0,7.9,1.3,6.6,2.6,50.3,151,,,,,,,,,,,5.9,6.0,3.3,88.2,,90.4,86.0,75.4,,
1069,AppleTree Early Learning Center PCS - Parklands at THEARC,70.6%,,PK Only,8,0.0,98.9,0.0,1.1,0.0,0.0,0.0,7.6,0.0,69.6,92,,,,,,,,,,,6.2,6.5,4.5,87.1,,90.9,86.4,65.2,,
141,AppleTree Early Learning Center PCS - Southwest,59.9%,2,PK Only,6,1.0,85.6,2.1,1.0,0.0,9.3,1.0,7.2,5.2,50.5,97,,,,,,,,,,,5.6,6.0,3.2,85.5,,94.0,85.7,60.9,,
3068,BASIS DC PCS,84.3%,1,PK-8,2,7.2,33.8,8.6,0.6,0.2,40.4,9.1,4.2,0.8,8.2,636,PARCC,62.5,52.5,PARCC,94.6,79.5,88.7,67.6,,82.0,,,,96.6,90.0,,,,,
289,Breakthrough Montessori PCS,48.7%,2,PK-8,4,7.7,33.9,12.6,0.0,0.0,40.4,5.5,8.7,21.9,13.7,183,NWEA MAP,40.0,49.0,,,,,,,,5.6,6.1,2.9,92.3,70.3,98.0,96.9,,,
142,Bridges PCS,50.0%,2,PK-8,5,1.2,51.9,31.1,0.2,0.0,10.0,5.6,39.1,42.5,36.2,412,PARCC,46.1,42.9,PARCC,43.2,19.4,51.4,19.6,20.0,,5.9,6.3,3.6,93.6,78.4,78.9,84.4,,75.0,69.3
126,Briya PCS,91.2%,1,PK Only,5,5.0,19.1,74.2,0.1,0.0,1.5,0.0,20.3,82.3,35.3,718,,,,,,,,,,,6.5,6.7,4.4,83.1,,100.0,100.0,100.0,,
184,Capital City PCS - Lower School,56.7%,2,PK-8,4,1.9,32.2,51.1,0.0,0.0,9.3,5.6,14.9,44.3,34.4,323,PARCC,51.8,43.0,PARCC,47.5,15.2,52.5,28.3,6.7,,6.1,6.4,3.5,93.6,89.9,100.0,100.0,96.1,29.6,57.5
182,Capital City PCS - Middle School,65.1%,1,PK-8,4,1.5,32.5,52.8,0.0,0.0,8.1,5.1,15.2,17.9,29.0,335,PARCC,55.3,54.6,PARCC,63.7,37.8,54.4,22.1,,16.0,,,,94.0,93.8,,,,,
188,Cedar Tree Academy PCS,89.5%,1,PK-8,8,0.0,96.4,3.1,0.0,0.0,0.3,0.3,8.9,0.0,70.2,359,NWEA MAP,96.0,99.0,,,,,,,,6.2,6.2,3.7,92.8,75.5,94.1,94.8,,,
1103,Center City PCS - Brightwood,82.5%,1,PK-8,4,0.4,51.9,45.7,0.0,0.0,0.4,1.6,12.0,48.8,31.4,258,PARCC,63.8,56.1,PARCC,76.6,46.0,74.5,38.0,40.7,59.1,6.3,6.3,3.9,97.1,96.9,79.4,91.2,,49.5,70.0
1104,Center City PCS - Capitol Hill,47.1%,2,PK-8,6,0.0,87.0,4.6,0.0,0.0,0.4,8.0,16.0,0.4,55.0,262,PARCC,43.5,41.4,PARCC,54.4,22.1,45.6,18.1,25.0,12.5,5.6,5.9,3.0,93.1,84.9,75.0,85.0,,33.0,34.0
1105,Center City PCS - Congress Heights,77.6%,1,PK-8,8,0.0,92.4,3.6,0.0,0.0,0.8,3.2,6.8,1.6,53.6,250,PARCC,60.0,65.5,PARCC,68.1,40.6,67.4,39.1,40.9,38.9,6.3,6.2,4.2,93.9,82.4,96.7,96.7,,70.0,78.0
1106,Center City PCS - Petworth,61.6%,2,PK-8,4,1.2,48.0,44.4,0.0,0.0,2.0,4.4,13.2,28.8,33.2,250,PARCC,48.7,49.7,PARCC,55.5,34.3,58.7,31.2,33.3,28.6,5.8,6.1,3.1,94.0,89.7,85.7,83.3,,49.0,60.0
1107,Center City PCS - Shaw,59.1%,2,PK-8,6,0.4,60.9,33.9,0.4,0.0,0.4,3.9,13.5,23.0,44.3,230,PARCC,44.5,44.5,PARCC,58.1,29.1,54.7,31.8,26.1,47.6,6.5,6.5,4.6,92.8,88.9,100.0,100.0,,38.5,55.5
1108,Center City PCS - Trinidad,43.1%,2,PK-8,5,0.0,87.0,6.3,0.0,0.0,0.5,6.3,15.9,3.4,61.4,207,PARCC,51.4,38.5,PARCC,49.3,26.1,35.8,13.4,26.7,0.0,6.1,6.5,3.2,90.8,73.8,100.0,87.5,,36.0,28.0
102,Cesar Chavez PCS for Public Policy - Parkside Middle School,40.7%,2,PK-8,7,0.0,95.5,4.5,0.0,0.0,0.0,0.0,18.8,2.3,75.2,133,PARCC,50.2,43.5,PARCC,52.8,30.4,30.2,7.9,,6.7,,,,89.7,80.4,,,,,
3069,Creative Minds International PCS,59.7%,2,PK-8,5,3.4,37.7,17.1,0.0,0.0,33.1,8.7,26.6,6.5,15.9,496,PARCC,47.6,47.6,PARCC,59.7,35.2,57.9,40.5,42.9,17.4,5.9,5.9,3.1,93.9,84.8,93.0,99.1,,70.8,44.0
199,DC Bilingual PCS,84.1%,1,PK-8,5,0.5,20.3,61.7,0.2,0.2,14.6,2.5,16.2,43.5,26.8,444,PARCC,61.7,78.0,PARCC,70.4,40.2,65.1,31.4,36.1,,6.5,6.5,3.7,95.4,92.4,74.0,74.0,,73.3,69.7
276,DC Prep PCS - Anacostia Elementary School,90.2%,1,PK-8,8,0.0,93.4,2.9,0.3,0.0,0.5,2.9,13.5,0.8,68.1,379,NWEA MAP,69.0,78.0,,,,,,,,6.1,6.2,3.4,92.1,83.5,96.7,98.0,,,
1110,DC Prep PCS - Benning Elementary School,84.8%,1,PK-8,7,0.2,92.0,5.4,0.0,0.0,0.0,2.5,12.7,2.9,57.6,448,NWEA MAP,65.0,87.5,PARCC,63.9,44.4,73.6,51.4,45.0,,6.0,6.1,3.4,92.2,86.6,100.0,97.1,,,
218,DC Prep PCS - Benning Middle School,70.7%,1,PK-8,7,0.0,93.8,4.7,0.0,0.0,0.0,1.5,18.2,1.5,49.0,341,PARCC,52.0,54.5,PARCC,70.2,46.4,66.9,38.9,,62.7,,,,93.4,92.3,,,,,
130,DC Prep PCS - Edgewood Elementary School,85.7%,1,PK-8,5,0.4,82.7,9.8,0.2,0.0,1.8,5.1,11.8,12.0,40.7,450,NWEA MAP,63.0,83.5,PARCC,69.6,37.7,82.6,50.7,43.1,,5.7,6.0,3.2,94.1,89.1,98.6,94.6,,,
196,DC Prep PCS - Edgewood Middle School,78.9%,1,PK-8,5,0.3,88.3,7.8,0.0,0.0,0.0,3.6,16.2,3.9,32.9,334,PARCC,54.6,60.5,PARCC,75.9,53.0,83.8,54.9,,59.2,,,,94.2,88.4,,,,,
3070,DC Scholars PCS,41.0%,2,PK-8,7,0.0,98.3,0.2,0.0,0.0,0.0,1.5,16.2,0.0,63.2,543,PARCC,41.7,27.6,PARCC,50.0,19.2,54.5,22.3,20.4,11.1,6.3,6.2,4.0,92.3,77.0,89.0,88.1,,30.0,47.0
1038,Digital Pioneers Academy PCS,56.0%,,PK-8,7,0.0,96.7,3.3,0.0,0.0,0.0,0.0,13.3,0.0,65.8,120,PARCC,55.5,52.0,PARCC,55.8,27.4,49.5,24.2,,,,,,92.1,,,,,,
248,District of Columbia International School,68.6%,1,PK-8,4,3.1,35.6,38.5,0.5,0.1,15.9,6.2,15.3,8.1,18.8,1061,PARCC,50.3,48.3,PARCC,80.1,63.0,70.3,42.5,,40.1,,,,94.1,95.2,,,,,
1206,E.L. Haynes PCS - Elementary School,81.8%,1,PK-8,4,0.3,39.1,37.4,1.4,0.0,17.4,4.3,17.4,39.7,33.1,350,PARCC,72.9,57.5,PARCC,64.1,39.8,68.0,42.7,29.5,,6.5,6.6,3.8,94.4,92.2,75.6,87.8,,55.6,56.9
146,E.L. Haynes PCS - Middle School,53.6%,2,PK-8,1,0.3,45.0,44.1,1.4,0.3,3.4,5.4,22.9,20.1,38.4,349,PARCC,47.7,43.5,PARCC,59.3,31.9,51.6,24.9,,19.8,,,,94.0,89.9,,,,,
195,Eagle Academy PCS - Congress Heights,69.7%,1,PK-8,8,0.1,99.4,0.4,0.0,0.0,0.0,0.0,18.8,0.0,68.5,682,NWEA MAP,66.0,78.0,PARCC,42.9,27.1,52.9,21.4,27.5,,5.6,6.1,3.1,90.1,72.0,97.0,99.5,98.0,,
1125,Eagle Academy PCS - Fairlawn,76.8%,1,PK-8,6,1.3,86.5,5.1,0.0,0.0,7.1,0.0,20.5,0.6,57.1,156,NWEA MAP,76.5,76.0,PARCC,50.0,25.0,66.7,41.7,30.0,,6.1,6.5,3.6,91.5,69.5,100.0,100.0,100.0,,
138,Early Childhood Academy PCS,59.7%,2,PK-8,8,0.0,98.8,1.2,0.0,0.0,0.0,0.0,20.9,0.0,74.4,254,NWEA MAP,45.5,83.0,PARCC,34.5,24.1,27.6,17.2,18.5,,5.6,6.0,3.1,93.0,78.3,76.6,88.3,76.3,,
159,Elsie Whitlow Stokes Community Freedom PCS - Brookland,74.4%,1,PK-8,5,1.1,39.4,21.4,0.0,0.0,26.0,12.0,12.6,13.4,10.6,350,PARCC,57.6,51.3,PARCC,68.1,45.7,69.3,40.9,44.7,,5.6,6.2,3.6,95.2,93.9,98.6,100.0,98.6,43.0,32.0
1059,Elsie Whitlow Stokes Community Freedom PCS - East End,45.1%,,PK-8,7,0.0,55.2,16.4,0.0,0.0,14.9,13.4,9.0,12.0,11.9,134,NWEA MAP,42.0,34.0,,,,,,,,5.8,6.1,2.8,92.8,,97.8,96.7,96.7,,
